id,star_name,tier,element,default_point,dac_dia_point,ham_dia_point,star_group,is_good,notes
T1_01,Tử Vi,1,Thổ,2.0,6.0,-5.0,Chính Tinh Cát,2,"spec v1: Đắc+6 (Miếu=x1.2->7.2, Vượng=x1.1->6.6) / Bình+2 / Hãm-5"
T1_02,Thiên Cơ,1,Mộc,2.0,6.0,-5.0,Chính Tinh Cát,2,"spec v1: Đắc+6 (Miếu=x1.2->7.2, Vượng=x1.1->6.6) / Bình+2 / Hãm-5"
T1_03,Thái Dương,1,Hỏa,2.0,6.0,-5.0,Chính Tinh Cát,2,"spec v1: Đắc+6 (Miếu=x1.2->7.2, Vượng=x1.1->6.6) / Bình+2 / Hãm-5"
T1_04,Vũ Khúc,1,Kim,2.0,6.0,-5.0,Chính Tinh Cát,2,"spec v1: Đắc+6 (Miếu=x1.2->7.2, Vượng=x1.1->6.6) / Bình+2 / Hãm-5"
T1_05,Thiên Đồng,1,Thủy,2.0,6.0,-5.0,Chính Tinh Cát,2,"spec v1: Đắc+6 (Miếu=x1.2->7.2, Vượng=x1.1->6.6) / Bình+2 / Hãm-5"
T1_06,Thiên Phủ,1,Thổ,2.0,6.0,-5.0,Chính Tinh Cát,2,"spec v1: Đắc+6 (Miếu=x1.2->7.2, Vượng=x1.1->6.6) / Bình+2 / Hãm-5"
T1_07,Thái Âm,1,Thủy,2.0,6.0,-5.0,Chính Tinh Cát,2,"spec v1: Đắc+6 (Miếu=x1.2->7.2, Vượng=x1.1->6.6) / Bình+2 / Hãm-5"
T1_08,Thiên Tướng,1,Thủy,2.0,6.0,-5.0,Chính Tinh Cát,2,"spec v1: Đắc+6 (Miếu=x1.2->7.2, Vượng=x1.1->6.6) / Bình+2 / Hãm-5"
T1_09,Thiên Lương,1,Thổ,2.0,6.0,-5.0,Chính Tinh Cát,2,"spec v1: Đắc+6 (Miếu=x1.2->7.2, Vượng=x1.1->6.6) / Bình+2 / Hãm-5"
T1_10,Liêm Trinh,1,Hỏa,-2.0,1.0,-8.0,Chính Tinh Sát/Phá,2,"spec v1: Đắc+1 (Miếu=x1.2->1.2, Vượng=x1.1->1.1) / Bình-2 / Hãm-8"
T1_11,Tham Lang,1,Mộc,-2.0,1.0,-8.0,Chính Tinh Sát/Phá,2,"spec v1: Đắc+1 (Miếu=x1.2->1.2, Vượng=x1.1->1.1) / Bình-2 / Hãm-8"
T1_12,Cự Môn,1,Thủy,-2.0,1.0,-8.0,Chính Tinh Sát/Phá,2,"spec v1: Đắc+1 (Miếu=x1.2->1.2, Vượng=x1.1->1.1) / Bình-2 / Hãm-8"
T1_13,Thất Sát,1,Kim,-2.0,1.0,-8.0,Chính Tinh Sát/Phá,2,"spec v1: Đắc+1 (Miếu=x1.2->1.2, Vượng=x1.1->1.1) / Bình-2 / Hãm-8"
T1_14,Phá Quân,1,Thủy,-2.0,1.0,-8.0,Chính Tinh Sát/Phá,2,"spec v1: Đắc+1 (Miếu=x1.2->1.2, Vượng=x1.1->1.1) / Bình-2 / Hãm-8"
T2_01,Hóa Lộc,2,Mộc,6.0,6.0,6.0,Tứ Hóa,1,Cực tốt cho Tài Lộc / Công Việc
T2_02,Hóa Quyền,2,Mộc,5.0,5.0,5.0,Tứ Hóa,1,Tốt cho Công Việc / Quyền lực
T2_03,Hóa Khoa,2,Thủy,4.0,4.0,4.0,Tứ Hóa,1,Đệ nhất giải cứu tai ương
T2_04,Hóa Kỵ,2,Thủy,-6.0,-6.0,-6.0,Tứ Hóa,0,Gây thị phi / bế tắc / hao tài
T2_05,Lộc Tồn,2,Thổ,6.0,6.0,6.0,Lộc Mã,1,Kho lộc thiên ban
T2_06,Thiên Mã,2,Hỏa,4.0,4.0,-3.0,Lộc Mã,2,Đắc địa hoặc Hợp hành: +4; Gặp Kỵ/Đà/Hãm: -3
T2_07,Tả Phụ,2,Thổ,4.0,4.0,4.0,Lục Cát Tinh,1,Trợ lực mạnh / tăng quân số
T2_08,Hữu Bật,2,Thủy,4.0,4.0,4.0,Lục Cát Tinh,1,Trợ lực / quý nhân giúp đỡ
T2_09,Thiên Khôi,2,Hỏa,4.0,4.0,4.0,Lục Cát Tinh,1,Quý nhân nâng đỡ / đỗ đạt
T2_10,Thiên Việt,2,Hỏa,4.0,4.0,4.0,Lục Cát Tinh,1,Quý nhân giải cứu / cơ hội lớn
T2_11,Văn Xương,2,Kim,4.0,4.0,-2.0,Lục Cát Tinh,2,Đắc hoặc Miếu: +4; Hãm địa: -2
T2_12,Văn Khúc,2,Thủy,4.0,4.0,-2.0,Lục Cát Tinh,2,Đắc hoặc Miếu: +4; Hãm địa: -2
T2_13,Kình Dương,2,Kim,-6.0,2.0,-6.0,Lục Sát Tinh,2,Đắc địa: +2 (Phát bạo); Hãm: -6 (Mổ xẻ / Hình thương)
T2_14,Đà La,2,Kim,-6.0,2.0,-6.0,Lục Sát Tinh,2,Đắc địa: +2; Hãm: -6 (Trì trệ / ám hại)
T2_15,Hỏa Tinh,2,Hỏa,-5.0,2.0,-5.0,Lục Sát Tinh,2,Đắc địa: +2 (Nhanh chóng); Hãm: -5
T2_16,Linh Tinh,2,Hỏa,-5.0,2.0,-5.0,Lục Sát Tinh,2,Đắc địa: +2; Hãm: -5
T2_17,Địa Không,2,Hỏa,-6.0,2.0,-6.0,Lục Sát Tinh,2,Đắc địa: +2 (Hoạch phát); Hãm: -6 (Hoạch phá / Mất trắng)
